datetime,Daily_sm_set1,Daily_sm_set5,13D_sm_set1,13D_sm_set5
2023-08-15 00:00:00+00:00,12.0400,18.6800,19.1069,18.7723
2023-08-16 00:00:00+00:00,11.1700,18.9600,18.7023,18.7962
2023-08-17 00:00:00+00:00,10.6500,18.8900,17.2554,18.8069
2023-08-18 00:00:00+00:00,9.9500,18.6200,16.1069,18.7992
2023-08-19 00:00:00+00:00,9.8500,18.8800,15.0908,18.8092
2023-08-20 00:00:00+00:00,9.4300,18.6400,14.1623,18.7969
2023-08-21 00:00:00+00:00,9.3400,18.7200,13.2838,18.7900
2023-08-22 00:00:00+00:00,9.1900,18.7200,12.4662,18.7923
2023-08-23 00:00:00+00:00,9.8900,18.6300,11.7738,18.7808
2023-08-24 00:00:00+00:00,10.1900,18.8600,11.1862,18.7900
2023-08-25 00:00:00+00:00,10.5400,18.5400,10.7669,18.7577
2023-08-26 00:00:00+00:00,10.5200,18.7400,10.4562,18.7538
2023-08-27 00:00:00+00:00,10.3000,18.6600,10.2354,18.7338
2023-08-28 00:00:00+00:00,9.9200,18.6300,10.0723,18.7300
2023-08-29 00:00:00+00:00,9.4100,18.7100,9.9369,18.7108
2023-08-30 00:00:00+00:00,9.0700,18.5100,9.8154,18.6815
2023-08-31 00:00:00+00:00,8.8900,18.5500,9.7338,18.6762
2023-09-01 00:00:00+00:00,8.6800,18.5500,9.6438,18.6508
2023-09-02 00:00:00+00:00,8.4300,18.8100,9.5669,18.6638
2023-09-03 00:00:00+00:00,8.4600,18.6200,9.4992,18.6562
2023-09-04 00:00:00+00:00,20.9300,18.6100,10.4023,18.6477
2023-09-05 00:00:00+00:00,22.0000,18.8200,11.3338,18.6623
2023-09-06 00:00:00+00:00,21.5500,18.6100,12.2077,18.6431
2023-09-07 00:00:00+00:00,20.6300,18.7500,12.9838,18.6592
2023-09-08 00:00:00+00:00,19.8200,18.7200,13.6992,18.6577
2023-09-09 00:00:00+00:00,19.0700,18.7700,14.3738,18.6662
2023-09-10 00:00:00+00:00,18.1900,18.7300,15.0100,18.6738
2023-09-11 00:00:00+00:00,17.4300,18.7600,15.6269,18.6777
2023-09-12 00:00:00+00:00,16.2500,18.8100,16.1792,18.7008
2023-09-13 00:00:00+00:00,15.1300,18.7900,16.6592,18.7192
2023-09-14 00:00:00+00:00,13.9400,18.7800,17.0638,18.7369
2023-09-15 00:00:00+00:00,13.1000,18.8100,17.4231,18.7369
2023-09-16 00:00:00+00:00,12.2900,18.8000,17.7177,18.7508
2023-09-17 00:00:00+00:00,11.6200,18.8000,17.0015,18.7654
2023-09-18 00:00:00+00:00,11.0800,18.7800,16.1615,18.7623
2023-09-19 00:00:00+00:00,10.5100,18.7900,15.3123,18.7762
2023-09-20 00:00:00+00:00,10.0900,18.7500,14.5015,18.7762
2023-09-21 00:00:00+00:00,9.8300,18.8000,13.7331,18.7823
2023-09-22 00:00:00+00:00,12.0500,18.7600,13.1931,18.7815
2023-09-23 00:00:00+00:00,12.8600,18.7600,12.7831,18.7838
2023-09-24 00:00:00+00:00,13.0000,18.7700,12.4423,18.7846
2023-09-25 00:00:00+00:00,13.1100,18.7300,12.2008,18.7785
2023-09-26 00:00:00+00:00,13.1300,18.8600,12.0469,18.7838
2023-09-27 00:00:00+00:00,12.9100,18.6800,11.9677,18.7762
2023-09-28 00:00:00+00:00,12.6700,18.7000,11.9346,18.7677
