time,EWT[mm]
2009.2438356164384,16.090781942081993
2009.3260273972603,49.86629189460829
2009.4109589041095,49.97893830477693
2009.4931506849316,39.07236193383782
2009.5780821917808,-3.826426011506902
2009.66301369863,-65.50555191268431
2009.7452054794521,-71.79380473500554
2009.8301369863013,-50.99982681526549
2009.9123287671232,-61.10521905650879
2009.9972602739726,-29.357175148464364
2010.0821917808219,12.968115518777084
2010.158904109589,12.210816414749225
2010.2438356164384,29.97638101023969
2010.3260273972603,57.874191450235365
2010.4109589041095,62.47438687115649
2010.4931506849316,48.61462735460166
2010.5780821917808,-7.764336893271382
2010.66301369863,-47.98974255233528
2010.7452054794521,-79.61498835664148
2010.8301369863013,-73.4935166660729
2010.9123287671232,-54.232986514472834
2010.986301369863,5.26998484953694
2011.158904109589,54.7470488895806
2011.2438356164384,94.9334835248178
2011.3260273972603,137.94209476774265
2011.4109589041095,117.8883058379012
2011.5780821917808,52.01565803443198
2011.66301369863,23.04876247390353
2011.7452054794521,-35.32027501523513
2011.8301369863013,-28.083299046617245
2011.8712328767124,-18.58110416524364
2012.0273224043715,-27.271775006510772
2012.0819672131147,4.8376797432818535
2012.1612021857923,41.248266473816656
2012.2459016393443,32.56130642643976
2012.295081967213,46.786759579433586
2012.4945355191257,20.46680388699247
2012.5792349726776,-24.033200815952274
2012.6639344262296,-66.23485128271413
2012.7322404371585,-97.16774647008994
2012.9125683060108,-73.4088488034169
2012.9972677595629,-43.56535798354216
2013.0821917808219,-28.347183869980274
2013.1534246575343,-38.815980582280396
2013.3260273972603,2.787878532320173
2013.4109589041095,1.1566772391397069
2013.4931506849316,-25.723153826830224
2013.5780821917808,-93.6449605302565
2013.8301369863013,-61.148334850957596
2013.9123287671232,-78.66764954216607
2013.9972602739726,-59.64288879149717
2014.041095890411,-55.25476211304487
2014.2438356164384,1.6907525423530276
2014.3260273972603,2.2197497311114014
2014.4109589041095,2.633509994036882
2014.4767123287672,-27.516571059273563
2014.66301369863,-87.68044470452195
2014.7452054794521,-101.71206787760906
2014.8301369863013,-99.98852586616995
2014.9123287671232,-112.97805738899072
2015.0821917808219,-55.3802762100343
2015.158904109589,-33.785870971909304
2015.2438356164384,-32.94314160922043
2015.3260273972603,-50.43082237660943
2015.3561643835617,-53.55838905257293
2015.5780821917808,-65.93903328601343
2015.66301369863,-97.76342318649249
2015.7369863013698,-116.6465151247648
2016.0054644808743,-45.14559268106956
2016.0737704918033,-35.35921898468216
2016.1612021857923,-15.350871401353148
2016.2459016393443,23.936793570425287
2016.4125683060108,27.95775204100385
2016.4945355191257,2.453786691761115
2016.5737704918033,-80.35454447188864
2016.672131147541,-95.69215206331828
2016.9398907103825,-107.6169208568803
2017.013698630137,-32.29173067833436
2017.0904109589042,52.288913176439664
2017.282191780822,65.9813574452933
