datetime,301_gw_elev,302_gw_elev,303_gw_elev,13D_smooth_GW301_m,13D_smooth_GW302_m,13D_smooth_GW303_m
2023-08-02,1707.3256,1707.2321,1706.8035,1707.3131,1707.2178,1706.8047
2023-08-03,1707.3702,1707.2627,1706.8440,1707.3151,1707.2204,1706.8062
2023-08-04,1707.3763,1707.2619,1706.8537,1707.3192,1707.2238,1706.8092
2023-08-05,1707.3669,1707.2515,1706.8369,1707.3232,1707.2267,1706.8115
2023-08-06,1707.3546,1707.2442,1706.8256,1707.3264,1707.2288,1706.8130
2023-08-07,1707.3460,1707.2402,1706.8183,1707.3285,1707.2302,1706.8137
2023-08-08,1707.3465,1707.2410,1706.8167,1707.3308,1707.2318,1706.8144
2023-08-09,1707.3440,1707.2406,1706.8144,1707.3325,1707.2330,1706.8144
2023-08-10,1707.3367,1707.2354,1706.8098,1707.3346,1707.2344,1706.8147
2023-08-11,1707.3267,1707.2308,1706.8033,1707.3368,1707.2361,1706.8153
2023-08-12,1707.3279,1707.2319,1706.8048,1707.3397,1707.2381,1706.8163
2023-08-13,1707.3183,1707.2265,1706.7987,1707.3416,1707.2395,1706.8170
2023-08-14,1707.3071,1707.2183,1706.7929,1707.3421,1707.2398,1706.8171
2023-08-15,1707.3006,1707.2181,1706.7879,1707.3401,1707.2387,1706.8159
2023-08-16,1707.2975,1707.2167,1706.7858,1707.3345,1707.2352,1706.8114
2023-08-17,1707.2921,1707.2133,1706.7835,1707.3281,1707.2314,1706.8060
2023-08-18,1707.3073,1707.2229,1706.7898,1707.3235,1707.2292,1706.8024
2023-08-19,1707.3029,1707.2210,1706.7875,1707.3195,1707.2274,1706.7995
2023-08-20,1707.3144,1707.2296,1706.7900,1707.3171,1707.2266,1706.7973
2023-08-21,1707.3321,1707.2404,1706.7996,1707.3160,1707.2266,1706.7960
2023-08-22,1707.3519,1707.2537,1706.8083,1707.3166,1707.2276,1706.7955
2023-08-23,1707.3683,1707.2587,1706.8250,1707.3190,1707.2294,1706.7967
2023-08-24,1707.3435,1707.2400,1706.8090,1707.3203,1707.2301,1706.7971
2023-08-25,1707.3252,1707.2292,1706.7983,1707.3201,1707.2299,1706.7966
2023-08-26,1707.3058,1707.2190,1706.7867,1707.3191,1707.2293,1706.7957
2023-08-27,1707.2940,1707.2140,1706.7785,1707.3181,1707.2290,1706.7946
2023-08-28,1707.2869,1707.2121,1706.7752,1707.3171,1707.2285,1706.7936
2023-08-29,1707.2758,1707.2040,1706.7679,1707.3154,1707.2275,1706.7923
2023-08-30,1707.2762,1707.2035,1706.7646,1707.3142,1707.2268,1706.7908
2023-08-31,1707.2792,1707.2069,1706.7648,1707.3120,1707.2255,1706.7889
2023-09-01,1707.2779,1707.2081,1706.7592,1707.3101,1707.2246,1706.7867
2023-09-02,1707.3138,1707.2319,1706.7796,1707.3100,1707.2247,1706.7859
2023-09-03,1707.3115,1707.2281,1706.7798,1707.3085,1707.2238,1706.7844
2023-09-04,1707.3283,1707.2448,1706.7952,1707.3066,1707.2231,1706.7834
2023-09-05,1707.3676,1707.1869,1706.7229,1707.3066,1707.2176,1706.7755
2023-09-06,1707.3508,1707.2508,1706.8160,1707.3072,1707.2184,1706.7761
