time,water level[cm]
2009.5561643835617,-33.22037267513224
2009.558904109589,-33.22037267513224
2009.5616438356165,-35.65877267511678
2009.5643835616438,-35.65877267511678
2009.5671232876712,-34.74437267512258
2009.5698630136985,-35.65877267511678
2009.572602739726,-36.57317267511098
2009.5753424657535,-38.09717267513042
2009.5780821917808,-39.92597267513338
2009.5808219178082,-40.53557267510041
2009.5835616438355,-41.449972675109166
2009.5863013698631,-42.05957267511985
2009.5890410958905,-42.669172675101436
2009.5917808219178,-44.497972675118945
2009.5945205479452,-46.02197267510928
2009.5972602739726,-45.412372675098595
2009.6,-44.802772675131564
2009.6027397260275,-48.15557267511031
2009.6054794520549,-48.76517267512099
2009.6082191780822,-49.37477267511713
2009.6109589041096,-49.37477267511713
2009.613698630137,-51.20357267513464
2009.6164383561643,-49.06997267510451
2009.6191780821919,-48.76517267512099
2009.6219178082192,-52.72757267511042
2009.6246575342466,-52.72757267511042
2009.627397260274,-53.33717267512111
2009.6301369863013,-54.55637267511338
2009.6328767123289,-54.55637267511338
2009.6356164383562,-54.55637267511338
2009.6383561643836,-55.16597267512407
2009.641095890411,-56.689972675114404
2009.6438356164383,-55.16597267512407
2009.6465753424657,-56.08037267513282
2009.6493150684933,-56.08037267513282
2009.6520547945206,-56.689972675114404
2009.654794520548,-56.99477267511247
2009.6575342465753,-56.689972675114404
2009.6602739726027,-56.689972675114404
2009.66301369863,-56.99477267511247
2009.6657534246576,-58.213972675119294
2009.668493150685,-57.90917267509212
2009.6712328767123,-58.82357267512998
2009.6739726027397,-59.128372675113496
2009.676712328767,-59.433172675111564
2009.6794520547944,-61.26197267511452
2009.682191780822,-59.73797267512418
2009.6849315068494,-59.433172675111564
2009.6876712328767,-62.176372675123275
2009.690410958904,-62.48117267512134
2009.6931506849314,-62.78597267513396
2009.695890410959,-63.700372675128165
2009.6986301369864,-67.05317267510691
2009.7013698630137,-66.1387726751127
2009.704109589041,-64.91957267512043
2009.7068493150684,-65.22437267513305
2009.7095890410958,-65.52917267510202
2009.7123287671234,-65.52917267510202
2009.7150684931507,-65.22437267513305
2009.717808219178,-64.00517267512623
2009.7205479452055,-61.871572675110656
2009.7232876712328,-67.96757267511566
2009.7260273972602,-68.27237267509918
2009.7287671232878,-68.88197267510986
2009.731506849315,-68.57717267512635
2009.7342465753425,-69.491572675106
2009.7369863013698,-69.491572675106
2009.7397260273972,-69.79637267511862
2009.7424657534248,-74.06357267513522
2009.7452054794521,-57.29957267512509
2009.7479452054795,-70.4059726751293
2009.7506849315068,-71.92997267510509
2009.7534246575342,-73.14917267509736
2009.7561643835616,-73.75877267510805
